"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C22,C23";"C_0805_2012Metric";2;"100μF";;;
2;"F5,F1,F2,F3,F4";"NFE31PT101C1E9L_MUR";5;"LC(PI)";;;
3;"R26,R25,R24,R6,R1";"R_0402_1005Metric";5;"4.7k";;;
4;"R23";"R_0402_1005Metric";1;"560";;;
5;"R9,R3";"R_0402_1005Metric";2;"51";;;
6;"R7,R2";"R_0402_1005Metric";2;"24";;;
7;"C27,C24,C11,C9,C6,C3,C1";"C_0402_1005Metric";7;"0.01μF";;;
8;"C26,C25,C16,C14,C13,C12,C10,C8,C5,C2";"C_0402_1005Metric";10;"0.1μF";;;
9;"C7,C4";"C_0402_1005Metric";2;"20pF";;;
10;"U2";"SOT-23-5";1;"TLV75718PDBV";;;
11;"U1";"CP_32_12_ADI";1;"ADV7280AWBCPZ-M";;;
12;"Y1";"Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm";1;"28.63636MHz";;;
13;"REF**";"PIZERO_OUTLINE";1;"MODULE_ADA3708";;;
14;"J3";"528061510";1;"SFW15R-1STE1LF";;;
15;"J2,J1";"SMA_Amphenol_901-144_Vertical";2;"Conn_Coaxial";;;
